festival.id,fest.name,fest.label,event,event.year,event.month,event.date,event.country,unique.id,title.mixed,fest.count,fest.run.month,fest.regions.ocean,fest.regions.mena,fest.regions.africa,fest.regions.asia,fest.regions.na,fest.regions.eu,fest.regions.la,fest.country.n,only.fest,thr,digital,tv,dvd.br,imdb.id,gender.team
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,mix copenhagen,2011,10,23,Denmark,frnew19,madame x,4,10,0,0,0,0,0,1,0,4,0,0,0,0,0,tt1754163,at least one unknown name
fest.lib.id351,cinemanila international film festival,cinemanila international,cinemanila international film festival,2011,11,13,Philippines,frnew19,madame x,4,10,0,0,0,1,0,0,0,4,0,0,0,0,0,tt1754163,at least one unknown name
fest.lib.id832,imagine film festival,imagine,imagine film festival,2012,4,23,Netherlands,frnew19,madame x,4,10,0,0,0,0,0,1,0,4,0,0,0,0,0,tt1754163,at least one unknown name
fest.lib.id7533,lund fantastisk film festival,lund fantastisk,lund fantastisk film festival,2013,10,1,Sweden,frnew191,slashed,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,tt1801100,female only
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,16,United States,frnew192,"sleeping beauty of east finchley, the",1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1608241,male only
fest.lib.id6932,revelation perth international film festival,revelation perth international,revelation film festival,2010,7,15,Australia,frnew194,slut: the musical,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,tt1671726,female only
fest.lib.id1768,tribeca film festival,tribeca,tribeca film festival,2011,4,24,United States,frnew195,smut capital of america,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,tt1800738,at least one unknown name
fest.lib.id.na42,belgrade queer film festival,belgrade queer,belgrade queer film festival,2012,12,16,Serbia,frnew196,spiral transition,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,tt1816650,male only
fest.lib.id1768,tribeca film festival,tribeca,tribeca film festival,2010,4,24,United States,frnew198,spork,19,26,0,0,0,0,1,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1342,outfest los angeles lgbtq film festival,outfest los angeles lgbtq,outfest film festival,2010,7,18,United States,frnew198,spork,19,26,0,0,0,0,1,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
imdbady00871,imagem dos povos film festival,imagem dos povos,imagem dos povos film festival,2010,9,17,Brazil,frnew198,spork,19,26,0,0,0,0,0,0,1,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1895,hamburg film festival,hamburg,hamburg film festival,2010,10,2,Germany,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id.na9,american film festival,american,american film festival,2010,10,22,Poland,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1823,vinokino film festival,vinokino,vinokino film festival,2010,10,23,Finland,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id.ch1786,london film festival,london,london film festival,2010,10,23,United Kingdom,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id.survey.na101,cinekid festival,cinekid,cinekid film festival,2010,10,24,Netherlands,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1167,mix copenhagen lesbian gay bi trans film festival,mix copenhagen lesbian gay bi trans,copenhagen gay and lesbian film festival,2010,10,25,Denmark,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id704,gender bender festival bologna,gender bender bologna,gender bender festival,2010,11,2,Italy,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1443,queer screen mardi gras film festival,queer screen mardi gras,queer screen,2011,2,28,Australia,frnew198,spork,19,26,1,0,0,0,0,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id268,buff childrens' short film festival,buff childrens' short,buff film festival,2011,3,15,Sweden,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1134,melbourne queer film festival,melbourne queer,melbourne queer film festival,2011,3,27,Australia,frnew198,spork,19,26,1,0,0,0,0,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id252,brisbane queer film festival,brisbane queer,brisbane queer film and video festival,2011,4,8,Australia,frnew198,spork,19,26,1,0,0,0,0,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id5532,stockholm filmfestival junior,stockholm filmfestival junior,stockholm filmfestival junior,2011,4,13,Sweden,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1148,miami gay and lesbian film festival,miami gay and lesbian,miami gay and lesbian film festival,2011,4,25,United States,frnew198,spork,19,26,0,0,0,0,1,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id665,frameline film festival,frameline,frameline film festival,2011,6,19,United States,frnew198,spork,19,26,0,0,0,0,1,0,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id1183,moscow international film festival,moscow international,moscow film festival,2011,6,26,Russia,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
fest.lib.id636,fire!! mostra internacional de cinema gay i lesbia de barcelona,fire!! mostra internacional de cinema gay i lesbia de barcelona,fire!! mostra internacional de cinema gay i lesbià de barcelona,2012,7,8,Spain,frnew198,spork,19,26,0,0,0,0,0,1,0,13,0,0,0,0,0,tt1483020,at least one unknown name
